Work Item Type,Title,Title 2,Title 3,Title 4,Description,Priority,Assigned To,Iteration Path,Tags,Story Points,Remaining Work,Area Path,Business Value,Risk
Epic,Product training,,,,,2,rkj@example.com,eShopOnWeb-4mScratch\Iteration 2,Security,,,eShopOnWeb-4mScratch\EShop-Web,10,High
Feature,,Training dashboard,,,,2,rkjausra@example.com,eShopOnWeb-4mScratch\Iteration 2,DevOps,,,eShopOnWeb-4mScratch\EShop-Web,50,Low
Product Backlog Item,,,As a customer I want to view new tutorials,,,2,rkjcusrc@example.com,eShopOnWeb-4mScratch\Iteration 2,UI/UX,3,,eShopOnWeb-4mScratch\EShop-Web,10,Medium
Task,,,,Add page for most recent tutorials,,2,rkjcusrc@example.com,eShopOnWeb-4mScratch\Iteration 2,DevOps,,5,eShopOnWeb-4mScratch\EShop-Web,20,Low
Task,,,,Optimize data query for most recent tutorials,,2,rkjdusrd@example.com,eShopOnWeb-4mScratch\Iteration 2,Database,,3,eShopOnWeb-4mScratch\EShop-Web,30,Medium
Product Backlog Item,,,As a customer I want to see tutorials I recently viewed,,,2,rkjcusrc@example.com,eShopOnWeb-4mScratch\Iteration 2,Frontend,1,,eShopOnWeb-4mScratch\EShop-Web,40,High
Product Backlog Item,,,As a customer I want to request new tutorials,,,2,rkjdusrd@example.com,eShopOnWeb-4mScratch\Iteration 2,API,5,,eShopOnWeb-4mScratch\EShop-Web,10,Medium
Epic,Healthcare Portal,,,,Top-level initiative,4,rkjausra@example.com,eShopOnWeb-4mScratchIteration 3,Security,,,eShopOnWeb-4mScratch\EShop-Web,10,Medium
Feature,,Feature-11: Patient Profile,,,Feature under Healthcare Portal,1,rkj@example.com,eShopOnWeb-4mScratchIteration 2,DevOps,,,eShopOnWeb-4mScratch\EShop-Web,50,Medium
Product Backlog Item,,,PBI-111: Patient Profile story 1,,As a user I need Patient Profile 1,3,rkj@example.com,eShopOnWeb-4mScratchIteration 2,UI/UX,1,,eShopOnWeb-4mScratch\EShop-Web,80,Low
Task,,,,Task-1111: Patient Profile task 1,Implement part 1 for Patient Profile 1,4,rkj@example.com,eShopOnWeb-4mScratchIteration 3,DevOps,,2,eShopOnWeb-4mScratch\EShop-Web,80,Medium
Task,,,,Task-1112: Patient Profile task 2,Implement part 2 for Patient Profile 1,1,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 2,Database,,8,eShopOnWeb-4mScratch\EShop-Web,50,High
Product Backlog Item,,,PBI-112: Patient Profile story 2,,As a user I need Patient Profile 2,4,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 2,Frontend,5,,eShopOnWeb-4mScratch\EShop-Web,100,Low
Task,,,,Task-1121: Patient Profile task 1,Implement part 1 for Patient Profile 2,3,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 1,API,,8,eShopOnWeb-4mScratch\EShop-Web,20,Medium
Task,,,,Task-1122: Patient Profile task 2,Implement part 2 for Patient Profile 2,1,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 3,UI/UX,,8,eShopOnWeb-4mScratch\EShop-Web,20,Low
Bug,,,Bug-111: Patient Profile defect,,Defect found in Feature-11: Patient Profile,1,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 3,Security,,8,eShopOnWeb-4mScratch\EShop-Web,30,Medium
Feature,,Feature-12: Appointments,,,Feature under Healthcare Portal,1,rkjausra@example.com,eShopOnWeb-4mScratchIteration 3,UI/UX,,,eShopOnWeb-4mScratch\EShop-Web,80,High
Product Backlog Item,,,PBI-121: Appointments story 1,,As a user I need Appointments 1,1,rkj@example.com,eShopOnWeb-4mScratchIteration 1,Frontend,3,,eShopOnWeb-4mScratch\EShop-Web,30,Medium
Task,,,,Task-1211: Appointments task 1,Implement part 1 for Appointments 1,1,rkjdusrd@example.com,eShopOnWeb-4mScratchIteration 1,Frontend,,8,eShopOnWeb-4mScratch\EShop-Web,30,High
Task,,,,Task-1212: Appointments task 2,Implement part 2 for Appointments 1,4,rkjbusrb@example.com,eShopOnWeb-4mScratchIteration 2,UI/UX,,4,eShopOnWeb-4mScratch\EShop-Web,20,Low
Product Backlog Item,,,PBI-122: Appointments story 2,,As a user I need Appointments 2,2,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 2,UI/UX,5,,eShopOnWeb-4mScratch\EShop-Web,30,Low
Task,,,,Task-1221: Appointments task 1,Implement part 1 for Appointments 2,3,rkjcusrc@example.com,eShopOnWeb-4mScratchIteration 3,Testing,,6,eShopOnWeb-4mScratch\EShop-Web,50,High
